time,temperature,humidity,pressure,people
2020-07-08 12:45:00+00:00,29.1,40.6,1020.5,0.0
2020-07-08 12:50:00+00:00,29.2,40.5,1020.3333333333334,0.0
2020-07-08 12:55:00+00:00,29.5,40.3,1020.5,0.0
2020-07-08 13:00:00+00:00,29.5,40.1,1019.5,0.0
2020-07-08 13:05:00+00:00,29.55,40.0,1019.5,0.0
2020-07-08 13:10:00+00:00,29.55,40.1,1019.5,0.0
2020-07-08 13:15:00+00:00,29.55,39.9,1019.5,0.0
2020-07-08 13:20:00+00:00,29.55,40.0,1019.5,0.0
2020-07-08 13:25:00+00:00,29.6,40.0,1019.5,0.0
2020-07-08 13:30:00+00:00,29.65,39.95,1019.5,0.0
2020-07-08 13:35:00+00:00,29.65,39.95,1019.5,0.0
2020-07-08 13:40:00+00:00,29.7,39.9,1019.5,0.0
2020-07-08 13:45:00+00:00,29.75,39.9,1019.5,0.0
2020-07-08 13:50:00+00:00,29.8,39.9,1019.5,0.0
2020-07-08 13:55:00+00:00,29.75,40.0,1019.5,0.0
2020-07-08 14:00:00+00:00,29.85,40.0,1019.5,0.0
2020-07-08 14:05:00+00:00,29.85,40.1,1019.5,0.0
2020-07-08 14:10:00+00:00,29.9,40.05,1019.5,0.0
2020-07-08 14:15:00+00:00,30.0,40.0,1019.5,0.0
2020-07-08 14:20:00+00:00,29.95,39.9,1019.5,0.0
2020-07-08 14:25:00+00:00,30.05,39.849999999999994,1019.5,0.0
2020-07-08 14:30:00+00:00,30.1,39.9,1019.5,0.0
2020-07-08 14:35:00+00:00,30.05,39.9,1019.5,0.0
2020-07-08 14:40:00+00:00,30.2,39.8,1019.5,0.0
2020-07-08 14:45:00+00:00,30.3,39.7,1019.5,0.0
2020-07-08 14:50:00+00:00,30.5,39.6,1019.4444444444443,0.0
2020-07-08 14:55:00+00:00,30.65,39.7,1019.625,0.0
2020-07-08 15:00:00+00:00,31.1,39.4,1019.4375,0.0
2020-07-08 15:05:00+00:00,31.3,39.2,1019.4444444444445,0.0
2020-07-08 15:10:00+00:00,31.5,38.9,1019.5,0.0
2020-07-08 15:15:00+00:00,31.4,38.45,1019.5,0.0
2020-07-08 15:20:00+00:00,31.2,38.6,1019.0,0.0
2020-07-08 15:25:00+00:00,31.0,38.8,1019.0,0.0
2020-07-08 15:30:00+00:00,30.9,39.1,1019.0,0.0
2020-07-08 15:35:00+00:00,31.0,39.2,1019.0,0.0
2020-07-08 15:40:00+00:00,30.9,39.25,1019.0,0.0
2020-07-08 15:45:00+00:00,31.0,39.4,1019.0,0.0
2020-07-08 15:50:00+00:00,31.0,39.45,1019.0,0.0
2020-07-08 15:55:00+00:00,31.0,39.5,1019.0,0.0
2020-07-08 16:00:00+00:00,31.0,39.5,1019.0,0.0
2020-07-08 16:05:00+00:00,31.0,39.650000000000006,1019.0,0.0
2020-07-08 16:10:00+00:00,31.0,39.75,1019.0,0.0
2020-07-08 16:15:00+00:00,31.0,39.7,1019.0,0.0
2020-07-08 16:20:00+00:00,30.95,39.6,1019.0,0.0
2020-07-08 16:25:00+00:00,30.95,39.650000000000006,1019.0,0.0
2020-07-08 16:30:00+00:00,31.05,39.6,1019.0,0.0
2020-07-08 16:35:00+00:00,31.05,39.7,1019.0,0.0
2020-07-08 16:40:00+00:00,31.05,39.7,1019.0,0.0
2020-07-08 16:45:00+00:00,31.05,39.75,1019.0,0.0
2020-07-08 16:50:00+00:00,31.1,39.8,1019.0,0.0
2020-07-08 16:55:00+00:00,31.05,39.8,1019.0,0.0
2020-07-08 17:00:00+00:00,31.15,39.7,1019.0,0.0
2020-07-08 17:05:00+00:00,31.15,39.6,1019.0,0.0
2020-07-08 17:10:00+00:00,31.1,39.25,1019.0,0.0
2020-07-08 17:15:00+00:00,31.1,39.25,1019.0,0.0
2020-07-08 17:20:00+00:00,31.1,39.25,1019.0,0.0
2020-07-08 17:25:00+00:00,31.2,39.2,1019.5,0.0
2020-07-08 17:30:00+00:00,31.15,39.1,1019.5,0.0
2020-07-08 17:35:00+00:00,31.15,39.0,1019.5,0.0
2020-07-08 17:40:00+00:00,31.15,38.849999999999994,1019.5,0.0
2020-07-08 17:45:00+00:00,31.15,38.8,1019.5,0.0
2020-07-08 17:50:00+00:00,31.15,38.7,1019.5,0.0
2020-07-08 17:55:00+00:00,31.15,38.5,1019.5,0.0
2020-07-08 18:00:00+00:00,31.15,38.3,1019.5,0.0
2020-07-08 18:05:00+00:00,31.1,38.2,1019.5,0.0
2020-07-08 18:10:00+00:00,31.2,38.150000000000006,1019.5,0.0
2020-07-08 18:15:00+00:00,31.15,38.0,1019.5,0.0
2020-07-08 18:20:00+00:00,31.15,37.95,1019.5,0.0
2020-07-08 18:25:00+00:00,31.1,37.7,1019.5,0.0
2020-07-08 18:30:00+00:00,31.15,37.5,1019.5,0.0
2020-07-08 18:35:00+00:00,31.15,37.3,1019.5,0.0
2020-07-08 18:40:00+00:00,31.15,37.25,1019.5,0.0
2020-07-08 18:45:00+00:00,31.05,37.1,1019.5,0.0
2020-07-08 18:50:00+00:00,31.05,37.05,1019.5,0.0
2020-07-08 18:55:00+00:00,31.05,37.0,1019.5,0.0
2020-07-08 19:00:00+00:00,31.05,36.9,1019.5,0.0
2020-07-08 19:05:00+00:00,31.05,36.849999999999994,1019.5,0.0
2020-07-08 19:10:00+00:00,31.05,36.8,1019.5,1.0
2020-07-08 19:15:00+00:00,31.05,36.75,1019.5,1.0
2020-07-08 19:20:00+00:00,31.05,36.6,1019.5,0.0
2020-07-08 19:25:00+00:00,31.05,36.5,1020.0,0.0
2020-07-08 19:30:00+00:00,31.1,36.4,1019.5,0.0
2020-07-08 19:35:00+00:00,31.2,36.349999999999994,1019.4444444444445,0.0
2020-07-08 19:40:00+00:00,31.35,36.1,1019.5,1.0
2020-07-08 19:45:00+00:00,31.3,36.0,1020.5,1.0
2020-07-08 19:50:00+00:00,31.1,36.1,1020.5,1.0
2020-07-08 19:55:00+00:00,31.1,36.2,1020.5,1.0
2020-07-08 20:00:00+00:00,31.0,36.2,1020.5,1.0
2020-07-08 20:05:00+00:00,30.9,36.349999999999994,1020.5,1.0
2020-07-08 20:10:00+00:00,30.9,36.4,1020.5,1.0
2020-07-08 20:15:00+00:00,30.85,36.5,1020.5,1.0
2020-07-08 20:20:00+00:00,30.8,36.7,1020.5,1.0
2020-07-08 20:25:00+00:00,30.85,36.8,1020.5,1.0
2020-07-08 20:30:00+00:00,30.75,37.1,1020.5,1.0
2020-07-08 20:35:00+00:00,30.75,37.2,1020.5,1.0
2020-07-08 20:40:00+00:00,30.7,37.2,1020.5,1.0
2020-07-08 20:45:00+00:00,30.65,37.3,1020.5,1.0
2020-07-08 20:50:00+00:00,30.6,37.3,1020.5,0.0
2020-07-08 20:55:00+00:00,30.65,37.4,1020.5,0.0
2020-07-08 21:00:00+00:00,30.5,37.3,1020.5,1.0
